,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,12,14,7,54,21,7.71,159,33.96,0,0,7,0,2,0
ODIs,39,8,2,50,30,8.33,54,92.59,0,0,5,0,12,0
T20Is,9,2,2,1,1*,-,1,100.00,0,0,0,0,2,0
First-class,112,126,54,597,41*,8.29,,,0,0,,,42,0
List A,124,36,19,140,30,8.23,191,73.29,0,0,,,28,0
Twenty20,123,17,7,68,17,6.80,71,95.77,0,0,5,2,32,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,12,23,2401,1296,50,5/28,8/141,25.92,3.23,48.0,1,2,0
ODIs,39,39,1942,1482,62,5/35,5/35,23.90,4.57,31.3,3,2,0
T20Is,9,9,210,249,9,1/22,1/22,27.66,7.11,23.3,0,0,0
First-class,112,,19779,10411,382,6/47,,27.25,3.15,51.7,16,16,2
List A,124,,6318,5078,184,5/35,5/35,27.59,4.82,34.3,8,3,0
Twenty20,123,122,2596,3346,134,4/13,4/13,24.97,7.73,19.3,1,0,0
