,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,44,73,3,2694,222,38.48,5324,50.60,7,11,386,15,146,11
List A,35,33,6,571,65,21.14,735,77.68,0,1,54,8,49,9
Twenty20,65,57,9,1278,71,26.62,1004,127.29,0,6,137,37,17,15



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,44,-,-,-,-,-,-,-,-,-,-,-,-
List A,35,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,65,-,-,-,-,-,-,-,-,-,-,-,-



