,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,46,72,8,3285,196,51.32,6785,48.41,10,14,450,21,29,0
List A,30,30,1,1022,121,35.24,1310,78.01,2,6,116,10,8,0
Twenty20,47,46,6,912,105*,22.80,770,118.44,1,1,77,29,12,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,46,3,36,21,0,-,-,-,3.50,-,0,0,0
List A,30,1,18,25,0,-,-,-,8.33,-,0,0,0
Twenty20,47,-,-,-,-,-,-,-,-,-,-,-,-



