,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,1,2,0,37,19,18.50,91,40.65,0,0,2,0,1,0
List A,9,9,1,187,65*,23.37,309,60.51,0,2,10,4,3,0
Twenty20,1,1,0,10,10,10.00,17,58.82,0,0,0,0,0,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,1,1,60,27,2,2/27,2/27,13.50,2.70,30.0,0,0,0
List A,9,2,30,20,1,1/17,1/17,20.00,4.00,30.0,0,0,0
Twenty20,1,-,-,-,-,-,-,-,-,-,-,-,-



