,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,1,0,58,58,58.00,71,81.69,0,1,10,1,0,0
ODIs,58,43,10,782,97,23.69,780,100.25,0,2,71,25,15,0
T20Is,50,38,11,572,43,21.18,402,142.28,0,0,29,39,17,0
First-class,77,114,21,4117,204*,44.26,,,8,23,,,34,0
List A,200,157,39,3388,134*,28.71,,,1,16,,,48,0
Twenty20,287,231,85,3767,73*,25.80,2731,137.93,0,11,237,219,62,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,2,192,132,1,1/44,1/132,132.00,4.12,192.0,0,0,0
ODIs,58,52,2073,1899,50,4/29,4/29,37.98,5.49,41.4,2,0,0
T20Is,50,46,647,864,26,3/12,3/12,33.23,8.01,24.8,0,0,0
First-class,77,,11807,6148,203,6/36,,30.28,3.12,58.1,,5,0
List A,200,,7611,6355,206,4/23,4/23,30.84,5.00,36.9,5,0,0
Twenty20,287,262,4697,5999,230,4/25,4/25,26.08,7.66,20.4,3,0,0
