,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,10,0,269,88,26.90,642,41.90,0,2,35,3,2,0
ODIs,71,66,6,1834,107*,30.56,2331,78.67,1,12,144,26,21,0
T20Is,17,15,1,347,55*,24.78,284,122.18,0,1,26,13,5,0
First-class,252,428,38,16357,203,41.94,,,45,79,,,200,0
List A,360,340,43,10529,134,35.45,,,14,68,,,125,0
Twenty20,230,217,49,5509,84,32.79,4406,125.03,0,30,423,215,73,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,6,2,30,31,0,-,-,-,6.20,-,0,0,0
ODIs,71,10,193,184,7,3/15,3/15,26.28,5.72,27.5,0,0,0
T20Is,17,-,-,-,-,-,-,-,-,-,-,-,-
First-class,252,,2266,1505,26,3/33,,57.88,3.98,87.1,,0,0
List A,360,,924,910,27,4/11,4/11,33.70,5.90,34.2,1,0,0
Twenty20,230,8,57,78,5,2/26,2/26,15.60,8.21,11.4,0,0,0
