,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,62,108,17,4292,160,47.16,8517,50.39,7,25,470,44,45,0
ODIs,180,151,39,4492,139*,40.10,5288,84.94,1,32,340,72,43,0
T20Is,66,52,17,987,81*,28.20,820,120.36,0,4,65,32,21,0
First-class,98,162,24,6997,270,50.70,13537,51.68,16,36,746,81,70,0
List A,229,194,48,5484,139*,37.56,6720,81.60,1,42,,,67,0
Twenty20,142,121,34,2277,81*,26.17,1870,121.76,0,8,159,73,51,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,62,75,3504,1609,31,4/44,4/60,51.90,2.75,113.0,1,0,0
ODIs,180,146,4897,3779,111,6/20,6/20,34.04,4.63,44.1,1,1,0
T20Is,66,52,895,993,36,3/16,3/16,27.58,6.65,24.8,0,0,0
First-class,98,126,6095,2791,61,5/47,5/62,45.75,2.74,99.9,1,1,0
List A,229,,5838,4446,142,6/20,6/20,31.30,4.56,41.1,2,1,0
Twenty20,142,110,1933,2343,78,4/19,4/19,30.03,7.27,24.7,1,0,0
