,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,13,5,0,21,16,4.20,36,58.33,0,0,1,0,1,0
T20Is,9,2,1,22,19,22.00,24,91.66,0,0,1,0,1,0
First-class,88,113,40,758,52,10.38,1262,60.06,0,1,103,18,33,0
List A,71,36,9,213,28*,7.88,272,78.30,0,0,20,3,14,0
Twenty20,116,28,12,73,22,4.56,108,67.59,0,0,4,0,18,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,13,13,594,612,12,2/44,2/44,51.00,6.18,49.5,0,0,0
T20Is,9,9,180,245,17,4/19,4/19,14.41,8.16,10.5,1,0,0
First-class,88,148,18098,9370,313,8/123,12/142,29.93,3.10,57.8,15,17,3
List A,71,71,3689,3216,122,5/29,5/29,26.36,5.23,30.2,2,3,0
Twenty20,116,113,2305,2924,117,4/13,4/13,24.99,7.61,19.7,3,0,0

