,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,21,32,2,917,74,30.56,1578,58.11,0,8,137,2,12,0
List A,21,20,3,591,102*,34.76,736,80.29,1,3,56,2,7,0
Twenty20,29,24,2,530,56,24.09,491,107.94,0,1,45,16,13,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,21,3,180,89,4,3/52,3/52,22.25,2.96,45.0,0,0,0
List A,21,1,6,5,0,-,-,-,5.00,-,0,0,0
Twenty20,29,1,6,24,0,-,-,-,24.00,-,0,0,0



