,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,49,60,16,535,39,12.15,686,77.98,0,0,46,37,14,0
List A,28,14,4,48,9,4.80,89,53.93,0,0,3,1,10,0
Twenty20,45,10,3,56,19*,8.00,41,136.58,0,0,7,1,9,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,49,84,9162,4578,171,8/84,11/120,26.77,2.99,53.5,8,8,2
List A,28,28,1483,1226,32,4/44,4/44,38.31,4.96,46.3,2,0,0
Twenty20,45,43,900,1085,44,4/20,4/20,24.65,7.23,20.4,1,0,0



