,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,34,45,13,501,55,15.65,970,51.64,0,1,79,3,7,0
List A,20,13,5,37,15,4.62,65,56.92,0,0,5,0,3,0
Twenty20,21,10,6,19,11*,4.75,24,79.16,0,0,1,1,7,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,34,54,6898,3101,104,7/76,10/157,29.81,2.69,66.3,5,2,1
List A,20,20,1006,670,29,4/39,4/39,23.10,3.99,34.6,1,0,0
Twenty20,21,21,421,545,20,3/25,3/25,27.25,7.76,21.0,0,0,0



