,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,11,1,1,2,2*,-,2,100.00,0,0,0,0,2,0
T20Is,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,0
First-class,70,76,26,1250,87,25.00,3369,37.10,0,4,162,21,26,0
List A,88,39,18,349,39*,16.61,458,76.20,0,0,28,8,21,0
Twenty20,96,29,18,142,28*,12.90,143,99.30,0,0,9,3,21,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,11,11,556,449,18,4/34,4/34,24.94,4.84,30.8,1,0,0
T20Is,2,2,48,55,3,2/23,2/23,18.33,6.87,16.0,0,0,0
First-class,70,113,12732,5939,210,7/50,9/56,28.28,2.79,60.6,7,13,0
List A,88,87,4336,3418,143,5/29,5/29,23.90,4.72,30.3,4,2,0
Twenty20,96,95,1936,2486,104,4/14,4/14,23.90,7.70,18.6,1,0,0

