,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,77,111,18,4046,264*,43.50,7129,56.75,10,18,549,11,243,16
List A,42,34,10,828,109*,34.50,1015,81.57,1,5,97,5,49,11
Twenty20,36,32,8,412,53*,17.16,379,108.70,0,1,46,8,25,10



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,77,1,6,1,0,-,-,-,1.00,-,0,0,0
List A,42,1,6,6,0,-,-,-,6.00,-,0,0,0
Twenty20,36,-,-,-,-,-,-,-,-,-,-,-,-



