,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,1,1,0,16,16,16.00,14,114.28,0,0,0,1,0,0
First-class,55,94,13,2927,163,36.13,5164,56.68,5,17,362,19,31,0
List A,46,41,4,940,80,25.40,1185,79.32,0,5,79,6,15,0
Twenty20,85,72,20,1396,64*,26.84,1047,133.33,0,3,97,45,26,0


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
First-class,55,19,241,151,5,4/13,4/20,30.20,3.75,48.2,1,0,0
List A,46,1,12,15,0,-,-,-,7.50,-,0,0,0
Twenty20,85,1,6,12,0,-,-,-,12.00,-,0,0,0


