,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,20,33,3,1128,159*,37.60,1767,63.83,3,4,157,12,17,0
List A,21,21,2,605,109*,31.84,731,82.76,3,1,85,1,5,0
Twenty20,30,28,7,453,61*,21.57,386,117.35,0,2,52,12,4,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,20,6,222,88,0,-,-,-,2.37,-,0,0,0
List A,21,5,108,66,5,2/11,2/11,13.20,3.66,21.6,0,0,0
Twenty20,30,2,24,44,1,1/24,1/24,44.00,11.00,24.0,0,0,0



