,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,73,109,16,2065,123*,22.20,3536,58.39,1,11,247,31,27,0
ODIs,153,91,32,951,73*,16.11,987,96.35,0,2,81,23,35,0
T20Is,30,17,7,109,28*,10.90,95,114.73,0,0,8,3,5,0
First-class,117,170,31,3180,123*,22.87,,,2,15,,,39,0
List A,184,108,39,1115,73*,16.15,1223,91.16,0,2,,,39,0
Twenty20,82,46,21,280,30,11.20,270,103.70,0,0,20,9,18,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,73,140,16001,8891,313,8/61,12/127,28.40,3.33,51.1,16,12,3
ODIs,153,150,7489,6038,239,6/31,6/31,25.26,4.83,31.3,9,3,0
T20Is,30,30,656,797,38,3/15,3/15,20.97,7.28,17.2,0,0,0
First-class,117,,23765,13352,465,8/61,,28.71,3.37,51.1,24,17,4
List A,184,,9227,7387,284,6/31,6/31,26.01,4.80,32.4,11,4,0
Twenty20,82,81,1804,2360,94,3/15,3/15,25.10,7.84,19.1,0,0,0
