,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,16,11,5,76,16,12.66,100,76.00,0,0,4,1,4,0
T20Is,17,7,2,51,16*,10.20,43,118.60,0,0,1,5,9,0
First-class,36,54,3,900,64,17.64,1234,72.93,0,2,115,23,23,0
List A,52,37,12,478,62,19.12,528,90.53,0,2,50,9,20,0
Twenty20,76,44,21,341,42*,14.82,271,125.83,0,0,21,21,23,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,16,16,818,734,27,4/48,4/48,27.18,5.38,30.2,1,0,0
T20Is,17,17,390,532,21,4/31,4/31,25.33,8.18,18.5,1,0,0
First-class,36,61,6771,3516,120,6/84,9/125,29.30,3.11,56.4,6,2,0
List A,52,52,2787,2254,93,5/26,5/26,24.23,4.85,29.9,4,1,0
Twenty20,76,74,1634,2110,88,4/20,4/20,23.97,7.74,18.5,2,0,0

