,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,5,4,0,90,41,22.50,68,132.35,0,0,11,1,1,0
T20Is,7,6,0,99,53,16.50,66,150.00,0,1,9,4,5,1
First-class,45,65,5,1982,171,33.03,3357,59.04,3,10,286,6,124,9
List A,64,58,12,2084,175,45.30,1857,112.22,5,13,232,37,54,7
Twenty20,86,81,9,1420,61*,19.72,1167,121.67,0,6,110,39,54,7

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,5,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,7,-,-,-,-,-,-,-,-,-,-,-,-
First-class,45,1,1,4,0,-,-,-,24.00,-,0,0,0
List A,64,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,86,-,-,-,-,-,-,-,-,-,-,-,-

