,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,28,35,10,155,35*,6.20,645,24.03,0,0,17,1,6,0
List A,13,5,2,1,1*,0.33,11,9.09,0,0,0,0,3,0
Twenty20,13,3,1,5,5,2.50,12,41.66,0,0,1,0,1,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,28,42,5281,2844,89,5/39,9/111,31.95,3.23,59.3,7,4,0
List A,13,13,638,447,17,4/46,4/46,26.29,4.20,37.5,1,0,0
Twenty20,13,13,234,328,10,3/30,3/30,32.80,8.41,23.4,0,0,0



