,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,12,22,4,623,106,34.61,1244,50.08,2,3,59,6,33,3
ODIs,77,66,9,1471,76,25.80,1839,79.98,0,9,103,23,90,8
T20Is,26,17,5,239,72,19.91,218,109.63,0,1,11,9,13,2
First-class,96,146,26,4740,152,39.50,9689,48.92,9,29,537,57,321,12
List A,139,122,14,3481,130,32.23,4185,83.17,5,18,290,60,160,18
Twenty20,88,72,15,1228,80,21.54,1010,121.58,0,6,81,42,47,8
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,12,1,6,0,0,-,-,-,0.00,-,0,0,0
ODIs,77,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,26,-,-,-,-,-,-,-,-,-,-,-,-
First-class,96,5,48,32,1,1/23,1/23,32.00,4.00,48.0,0,0,0
List A,139,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,88,-,-,-,-,-,-,-,-,-,-,-,-
