,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,84,61,8,1326,63*,25.01,1415,93.71,0,3,123,6,25,0
T20Is,12,7,2,105,30,21.00,98,107.14,0,0,7,1,3,0
First-class,108,175,5,5402,146,31.77,,,5,34,,,48,0
List A,209,169,19,3800,115,25.33,4408,86.20,2,16,,,53,0
Twenty20,93,79,14,1468,71,22.58,1183,124.09,0,10,167,22,22,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,84,75,3157,2384,67,5/14,5/14,35.58,4.53,47.1,0,1,0
T20Is,12,12,222,283,10,2/26,2/26,28.30,7.64,22.2,0,0,0
First-class,108,,19436,8026,301,6/40,,26.66,2.47,64.5,16,11,0
List A,209,,9128,6976,228,5/14,5/14,30.59,4.58,40.0,8,2,0
Twenty20,93,89,1702,2255,67,3/23,3/23,33.65,7.94,25.4,0,0,0

