,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,48,81,5,2690,151,35.39,5195,51.78,7,14,386,26,53,0
List A,80,79,7,2819,119,39.15,3920,71.91,4,19,301,56,31,3
Twenty20,59,57,3,1188,125,22.00,1000,118.80,3,2,116,49,38,1



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,48,2,48,35,0,-,-,-,4.37,-,0,0,0
List A,80,6,120,152,3,3/59,3/59,50.66,7.60,40.0,0,0,0
Twenty20,59,-,-,-,-,-,-,-,-,-,-,-,-



