,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,72,68,1,2477,148,36.97,2743,90.30,7,14,268,53,35,0
T20Is,28,28,3,974,156,38.96,649,150.07,1,6,101,42,7,0
First-class,58,94,3,3147,288*,34.58,5220,60.28,5,20,366,43,55,0
List A,145,141,6,5052,154,37.42,5741,87.99,11,29,507,118,61,0
Twenty20,162,158,15,4945,156,34.58,3693,133.90,2,37,503,175,64,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,72,10,115,95,2,1/2,1/2,47.50,4.95,57.5,0,0,0
T20Is,28,2,12,27,0,-,-,-,13.50,-,0,0,0
First-class,58,22,350,257,4,1/0,1/0,64.25,4.40,87.5,0,0,0
List A,145,20,310,276,7,2/44,2/44,39.42,5.34,44.2,0,0,0
Twenty20,162,23,203,318,6,1/9,1/9,53.00,9.39,33.8,0,0,0

