,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,31,29,3,843,124,32.42,1024,82.32,3,3,82,10,12,0
T20Is,9,9,1,210,78,26.25,162,129.62,0,1,23,7,2,0
First-class,97,171,15,5852,190,37.51,,,12,29,,,69,0
List A,157,150,17,6273,130,47.16,7056,88.90,14,41,,,54,0
Twenty20,119,116,12,2855,101,27.45,2136,133.66,1,18,262,120,44,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,31,1,6,17,0,-,-,-,17.00,-,0,0,0
T20Is,9,-,-,-,-,-,-,-,-,-,-,-,-
First-class,97,,3119,1888,48,4/16,5/50,39.33,3.63,64.9,3,0,0
List A,157,,660,567,19,3/38,3/38,29.84,5.15,34.7,0,0,0
Twenty20,119,20,272,342,15,4/32,4/32,22.80,7.54,18.1,1,0,0

