,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,13,22,1,683,116,32.52,1201,56.86,1,4,94,14,7,0
ODIs,40,36,5,1016,131*,32.77,885,114.80,1,4,78,53,8,0
T20Is,25,18,2,315,82*,19.68,246,128.04,0,1,22,14,14,0
First-class,43,73,9,2301,167,35.95,3962,58.07,3,11,312,39,31,0
List A,67,62,8,1716,131*,31.77,1615,106.25,1,10,143,74,19,0
Twenty20,72,57,9,1097,95*,22.85,823,133.29,0,4,75,60,35,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,13,23,1302,659,16,3/47,4/69,41.18,3.03,81.3,0,0,0
ODIs,40,38,1335,1349,55,5/63,5/63,24.52,6.06,24.2,2,1,0
T20Is,25,21,360,495,14,2/17,2/17,35.35,8.25,25.7,0,0,0
First-class,43,55,3003,1609,38,5/22,7/60,42.34,3.21,79.0,0,1,0
List A,67,45,1533,1515,62,5/26,5/26,24.43,5.92,24.7,2,2,0
Twenty20,72,37,564,805,24,2/17,2/17,33.54,8.56,23.5,0,0,0
