A Chopra,Y Venugopal Rao	0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,1.0
A Chopra,Z Khan	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,A Nehra	0.25,0.25,0.25,0.0,0.0,0.0,0.75
A Flintoff,DJ Bravo	0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.0
A Flintoff,DL Vettori	0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,1.0
A Flintoff,DP Nannes	1.0,0.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,DW Steyn	0.25,0.5,0.0,0.0,0.125,0.125,1.0
A Flintoff,Harbhajan Singh	0.4,0.4,0.0,0.0,0.0,0.0,0.8
A Flintoff,KP Pietersen	0.25,0.5,0.0,0.0,0.25,0.0,1.0
A Flintoff,MK Tiwary	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,P Kumar	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,PJ Sangwan	0.25,0.5,0.0,0.0,0.25,0.0,1.0
A Flintoff,RR Raje	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,SL Malinga	1.0,0.0,0.0,0.0,0.0,0.0,1.0
A Flintoff,ST Jayasuriya	0.0,0.75,0.0,0.0,0.25,0.0,1.0
A Flintoff,Z Khan	0.75,0.25,0.0,0.0,0.0,0.0,1.0
A Kumble,A Flintoff	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Kumble,A Mishra	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Kumble,AB McDonald	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Kumble,CRD Fernando	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Kumble,DJ Bravo	0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0
A Kumble,Harbhajan Singh	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Kumble,Harmeet Singh	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Kumble,IK Pathan	0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,1.0
A Kumble,JA Morkel	0.0,0.0,1.0,0.0,0.0,0.0,1.0
A Kumble,M Muralitharan	1.0,0.0,0.0,0.0,0.0,0.0,1.0
A Kumble,PP Chawla	0.75,0.25,0.0,0.0,0.0,0.0,1.0
A Kumble,R McLaren	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Kumble,RA Jadeja	0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
A Kumble,RJ Harris	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Kumble,RP Singh	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Kumble,SK Warne	0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0
A Kumble,SL Malinga	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Kumble,Sohail Tanvir	0.0,0.5,0.0,0.0,0.0,0.0,0.5
A Kumble,VRV Singh	0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0
A Kumble,YA Abdulla	0.5,0.0,0.0,0.0,0.0,0.0,0.5
A Mishra,A Nehra	0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0
A Mishra,A Singh	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Mishra,A Symonds	0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,AB Agarkar	0.4,0.6,0.0,0.0,0.0,0.0,1.0
