,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,46,87,1,2485,189,28.89,5344,46.50,3,16,311,21,49,0
ODIs,129,126,14,4844,237*,43.25,5627,86.08,10,30,491,116,66,0
T20Is,61,59,7,1806,101*,34.73,1374,131.44,1,10,169,76,35,0
First-class,100,181,11,6145,227,36.14,11809,52.03,11,33,819,63,102,0
List A,183,178,17,7025,237*,43.63,8163,86.05,19,39,722,167,92,0
Twenty20,170,165,18,5030,120*,34.21,3932,127.92,2,32,440,211,105,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,46,18,428,298,8,3/11,3/11,37.25,4.17,53.5,0,0,0
ODIs,129,10,103,92,2,2/7,2/7,46.00,5.35,51.5,0,0,0
T20Is,61,1,6,11,0,-,-,-,11.00,-,0,0,0
First-class,100,31,812,644,10,3/11,3/11,64.40,4.75,81.2,0,0,0
List A,183,11,109,99,3,2/7,2/7,33.00,5.44,36.3,0,0,0
Twenty20,170,2,12,19,0,-,-,-,9.50,-,0,0,0
