,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,7,11,4,115,41,16.42,305,37.70,0,0,11,2,1,0
List A,7,5,2,96,46,32.00,153,62.74,0,0,7,1,1,0
Twenty20,25,12,5,92,34*,13.14,80,115.00,0,0,5,4,12,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,7,14,1100,538,21,6/60,7/82,25.61,2.93,52.3,1,1,0
List A,7,6,295,185,13,4/35,4/35,14.23,3.76,22.6,1,0,0
Twenty20,25,24,432,574,18,3/2,3/2,31.88,7.97,24.0,0,0,0



