,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,18,31,8,335,40*,14.56,629,53.25,0,0,40,10,3,0
ODIs,92,40,11,362,86*,12.48,472,76.69,0,1,33,13,14,0
T20Is,23,6,5,12,8,12.00,21,57.14,0,0,0,0,2,0
First-class,67,98,20,1064,64*,13.64,,,0,2,,,20,0
List A,153,73,25,599,86*,12.47,,,0,1,,,27,0
Twenty20,114,36,20,155,23*,9.68,153,101.30,0,0,8,6,20,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,18,33,3440,1705,49,4/48,7/75,34.79,2.97,70.2,1,0,0
ODIs,92,88,4033,3434,117,5/49,5/49,29.35,5.10,34.4,8,2,0
T20Is,23,23,497,705,29,3/16,3/16,24.31,8.51,17.1,0,0,0
First-class,67,,10633,5995,203,7/51,,29.53,3.38,52.3,9,9,1
List A,153,,6890,5485,218,5/49,5/49,25.16,4.77,31.6,14,2,0
Twenty20,114,113,2446,2994,145,5/9,5/9,20.64,7.34,16.8,7,1,0
