,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,22,37,3,1473,161,43.32,2668,55.20,2,11,200,10,14,0
List A,35,35,0,1561,176,44.60,1551,100.64,5,6,200,20,7,0
Twenty20,79,74,5,1568,111,22.72,1233,127.16,1,8,153,59,33,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,22,14,282,166,2,2/18,2/18,83.00,3.53,141.0,0,0,0
List A,35,2,18,14,0,-,-,-,4.66,-,0,0,0
Twenty20,79,1,6,8,0,-,-,-,8.00,-,0,0,0



