,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,2,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,27,33,7,483,97*,18.57,842,57.36,0,2,51,15,13,0
List A,40,17,10,134,21*,19.14,213,62.91,0,0,12,1,9,0
Twenty20,26,6,2,25,7*,6.25,32,78.12,0,0,2,0,7,0


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,2,2,120,107,3,2/49,2/49,35.66,5.35,40.0,0,0,0
First-class,27,45,4165,2120,63,5/31,7/78,33.65,3.05,66.1,5,1,0
List A,40,40,2068,1688,72,5/35,5/35,23.44,4.89,28.7,3,1,0
Twenty20,26,25,540,701,23,3/19,3/19,30.47,7.78,23.4,0,0,0


