,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,53,69,6,899,50,14.26,1634,55.01,0,1,122,11,12,0
List A,36,25,7,189,32,10.50,263,71.86,0,0,14,4,8,0
Twenty20,53,26,11,164,20,10.93,131,125.19,0,0,10,9,4,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,53,91,9315,4434,141,5/40,10/83,31.44,2.85,66.0,2,7,1
List A,36,35,1645,1384,42,5/32,5/32,32.95,5.04,39.1,1,1,0
Twenty20,53,52,1051,1364,48,4/21,4/21,28.41,7.78,21.8,1,0,0



