,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,38,63,2,1323,106,21.68,1949,67.88,1,5,157,34,65,0
ODIs,126,105,30,1871,89,24.94,1870,100.05,0,9,145,84,67,0
T20Is,66,50,16,534,42*,15.70,359,148.74,0,0,42,27,30,0
First-class,96,158,9,3549,121,23.81,,,2,22,,,137,0
List A,187,157,36,2975,89,24.58,,,0,13,,,102,0
Twenty20,216,181,53,2531,60,19.77,1832,138.15,0,3,170,145,90,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,38,65,6215,3007,84,7/66,8/98,35.79,2.90,73.9,1,4,0
ODIs,126,119,4956,3851,81,4/26,4/26,47.54,4.66,61.1,1,0,0
T20Is,66,57,880,1068,44,5/26,5/26,24.27,7.28,20.0,1,1,0
First-class,96,,13744,6312,217,7/66,,29.08,2.75,63.3,6,10,0
List A,187,,7600,5803,154,4/16,4/16,37.68,4.58,49.3,5,0,0
Twenty20,216,188,3054,3942,146,5/26,5/26,27.00,7.74,20.9,2,1,0
