,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,50,65,12,1449,150*,27.33,2488,58.23,1,7,187,14,30,0
List A,71,54,14,787,55,19.67,970,81.13,0,2,57,9,22,0
Twenty20,81,28,16,165,33*,13.75,167,98.80,0,0,12,4,30,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,50,81,9765,4436,152,6/42,11/86,29.18,2.72,64.2,5,6,1
List A,71,70,3589,2690,109,6/32,6/32,24.67,4.49,32.9,3,2,0
Twenty20,81,79,1599,1832,76,5/10,5/10,24.10,6.87,21.0,1,1,0



