,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,91,162,12,5520,218,36.80,8984,61.44,14,28,,,144,4
List A,106,101,13,2591,101*,29.44,3188,81.27,1,18,,,98,8
Twenty20,83,80,14,1707,74,25.86,1452,117.56,0,8,142,60,39,8



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,91,,34,20,0,-,-,-,3.52,-,0,0,0
List A,106,,36,19,0,-,-,-,3.16,-,0,0,0
Twenty20,83,1,6,14,0,-,-,-,14.00,-,0,0,0



