,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,48,77,5,3340,200,46.38,4956,67.39,10,16,482,29,64,0
List A,47,43,5,1147,81*,30.18,1327,86.43,0,7,96,25,25,0
Twenty20,80,66,21,1002,60,22.26,774,129.45,0,2,91,33,41,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,48,43,974,463,19,2/1,2/1,24.36,2.85,51.2,0,0,0
List A,47,14,352,289,5,2/20,2/20,57.80,4.92,70.4,0,0,0
Twenty20,80,10,132,140,6,2/11,2/11,23.33,6.36,22.0,0,0,0



