,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,66,112,13,3266,169,32.98,5587,58.45,4,18,363,54,262,8
ODIs,126,115,16,3122,110,31.53,3706,84.24,2,16,296,71,170,11
T20Is,34,29,6,402,47,17.47,351,114.52,0,0,30,13,17,6
First-class,184,300,39,9932,169,38.05,,,17,56,,,608,40
List A,235,221,24,6503,138*,33.01,,,9,35,,,318,50
Twenty20,78,73,12,1468,76,24.06,1169,125.57,0,9,117,59,49,17
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,66,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,126,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,34,-,-,-,-,-,-,-,-,-,-,-,-
First-class,184,-,-,-,-,-,-,-,-,-,-,-,-
List A,235,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,78,-,-,-,-,-,-,-,-,-,-,-,-
