,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,14,22,2,408,77,20.40,835,48.86,0,1,57,4,7,0
List A,28,20,7,308,56,23.69,365,84.38,0,1,20,5,9,0
Twenty20,31,20,10,198,35*,19.80,177,111.86,0,0,13,4,14,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,14,25,2243,1231,35,4/53,6/81,35.17,3.29,64.0,1,0,0
List A,28,27,1162,1071,25,4/50,4/50,42.84,5.53,46.4,1,0,0
Twenty20,31,30,576,831,32,3/24,3/24,25.96,8.65,18.0,0,0,0



