,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,36,45,11,475,50,13.97,1176,40.39,0,1,61,4,6,0
List A,39,19,7,75,16,6.25,143,52.44,0,0,5,0,13,0
Twenty20,42,15,13,42,8*,21.00,40,105.00,0,0,3,0,9,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,36,64,6804,3363,120,6/63,8/81,28.02,2.96,56.7,8,5,0
List A,39,39,1935,1605,66,6/39,6/39,24.31,4.97,29.3,3,3,0
Twenty20,42,42,864,942,47,4/14,4/14,20.04,6.54,18.3,1,0,0



