,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,7,4,1,146,105*,48.66,137,106.56,1,0,17,1,4,0
T20Is,5,4,0,91,58,22.75,68,133.82,0,1,9,2,1,0
First-class,70,112,11,4592,327,45.46,6772,67.80,12,16,630,55,51,0
List A,86,80,15,3193,141,49.12,3063,104.24,7,20,324,60,37,0
Twenty20,84,76,22,1325,63*,24.53,957,138.45,0,7,114,46,30,4

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,7,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,5,-,-,-,-,-,-,-,-,-,-,-,-
First-class,70,14,215,153,1,1/23,1/23,153.00,4.26,215.0,0,0,0
List A,86,5,72,82,1,1/10,1/10,82.00,6.83,72.0,0,0,0
Twenty20,84,4,60,88,4,2/23,2/23,22.00,8.80,15.0,0,0,0

