,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,67,115,4,3705,150,33.37,7644,48.46,9,19,458,29,168,19
List A,47,47,6,1068,105,26.04,1433,74.52,1,4,108,2,50,9
Twenty20,45,41,4,713,74*,19.27,681,104.69,0,3,65,6,37,14



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,67,7,266,157,6,2/28,2/28,26.16,3.54,44.3,0,0,0
List A,47,1,18,11,0,-,-,-,3.66,-,0,0,0
Twenty20,45,-,-,-,-,-,-,-,-,-,-,-,-



