,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,17,29,4,678,103*,27.12,1066,63.60,1,4,77,12,12,0
ODIs,45,33,9,535,57,22.29,571,93.69,0,2,46,18,14,0
T20Is,4,1,0,2,2,2.00,4,50.00,0,0,0,0,1,0
First-class,41,62,4,1248,103*,21.51,,,1,6,,,25,0
List A,76,55,14,828,57,20.19,,,0,3,,,21,0
Twenty20,70,46,13,432,48,13.09,343,125.94,0,0,31,23,34,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,17,25,2347,1058,22,3/15,5/49,48.09,2.70,106.6,0,0,0
ODIs,45,45,2084,1948,59,4/13,4/13,33.01,5.60,35.3,3,0,0
T20Is,4,4,78,121,5,2/34,2/34,24.20,9.30,15.6,0,0,0
First-class,41,68,5398,2398,84,5/48,6/79,28.54,2.66,64.2,1,3,0
List A,76,74,3403,2957,107,4/13,4/13,27.63,5.21,31.8,5,0,0
Twenty20,70,69,1373,1736,54,4/27,4/27,32.14,7.58,25.4,1,0,0
