,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,5,1,1,1,1*,-,9,11.11,0,0,0,0,2,0
T20Is,3,-,-,-,-,-,-,-,-,-,-,-,1,0
First-class,7,6,1,60,35,12.00,182,32.96,0,0,8,0,4,0
List A,39,23,11,157,34*,13.08,158,99.36,0,0,10,7,9,0
Twenty20,88,26,10,102,22,6.37,108,94.44,0,0,5,4,25,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,5,5,224,219,4,1/28,1/28,54.75,5.86,56.0,0,0,0
T20Is,3,3,71,118,2,1/32,1/32,59.00,9.97,35.5,0,0,0
First-class,7,10,1152,665,11,2/55,4/148,60.45,3.46,104.7,0,0,0
List A,39,39,2048,1785,69,6/23,6/23,25.86,5.22,29.6,1,2,0
Twenty20,88,87,1846,2393,109,6/28,6/28,21.95,7.77,16.9,1,1,0

