,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,41,56,19,212,24*,5.72,,,0,0,,,17,0
List A,33,14,5,46,14*,5.11,,,0,0,,,9,0
Twenty20,22,7,4,6,3*,2.00,7,85.71,0,0,0,0,6,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,41,,7926,4115,130,6/82,,31.65,3.11,60.9,,4,0
List A,33,,1549,1145,44,4/18,4/18,26.02,4.43,35.2,2,0,0
Twenty20,22,22,452,653,20,3/29,3/29,32.65,8.66,22.6,0,0,0



