,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,16,20,6,279,76,19.92,461,60.52,0,1,,,2,0
List A,7,4,4,27,19*,-,29,93.10,0,0,3,1,0,0
Twenty20,22,4,4,6,4*,-,12,50.00,0,0,0,0,1,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,16,,2800,1414,57,6/79,11/183,24.80,3.03,49.1,2,4,1
List A,7,7,318,237,8,3/28,3/28,29.62,4.47,39.7,0,0,0
Twenty20,22,22,456,499,36,5/6,5/6,13.86,6.56,12.6,0,2,0



