,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,10,9,0,235,51,26.11,276,85.14,0,1,23,3,4,0
T20Is,4,4,1,82,45,27.33,52,157.69,0,0,5,5,2,0
First-class,45,83,2,2663,192,32.87,4312,61.75,3,19,375,18,16,0
List A,42,40,1,1368,202,35.07,1411,96.95,3,5,148,31,14,0
Twenty20,32,31,5,787,101*,30.26,530,148.49,1,4,49,47,9,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,10,8,168,183,4,2/22,2/22,45.75,6.53,42.0,0,0,0
T20Is,4,1,6,9,0,-,-,-,9.00,-,0,0,0
First-class,45,35,1358,952,14,3/42,3/49,68.00,4.20,97.0,0,0,0
List A,42,21,423,446,7,2/9,2/9,63.71,6.32,60.4,0,0,0
Twenty20,32,13,109,160,6,3/16,3/16,26.66,8.80,18.1,0,0,0

