,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,6,6,1,102,41*,20.40,115,88.69,0,0,7,5,0,0
T20Is,20,11,4,92,28,13.14,75,122.66,0,0,4,3,9,0
First-class,79,128,15,3993,208,35.33,5674,70.37,9,21,568,74,54,0
List A,111,94,18,2642,106,34.76,2283,115.72,1,15,244,111,35,0
Twenty20,129,88,36,1072,71*,20.61,714,150.14,0,3,76,58,39,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,6,6,294,316,9,3/50,3/50,35.11,6.44,32.6,0,0,0
T20Is,20,20,392,497,24,5/23,5/23,20.70,7.60,16.3,0,1,0
First-class,79,137,11360,6163,233,6/58,10/111,26.45,3.25,48.7,11,6,1
List A,111,99,3968,3521,94,5/25,5/25,37.45,5.32,42.2,1,1,0
Twenty20,129,109,1821,2506,109,5/19,5/19,22.99,8.25,16.7,3,3,0

