,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,6,9,1,299,155,37.37,464,64.43,1,1,29,8,4,0
List A,6,5,2,65,41*,21.66,71,91.54,0,0,8,1,4,0
Twenty20,24,18,8,248,45*,24.80,147,168.70,0,0,24,10,2,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,6,-,-,-,-,-,-,-,-,-,-,-,-
List A,6,1,6,4,0,-,-,-,4.00,-,0,0,0
Twenty20,24,-,-,-,-,-,-,-,-,-,-,-,-



