,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,2,0,52,32,26.00,88,59.09,0,0,5,2,1,0
ODIs,27,20,11,267,51,29.66,270,98.88,0,1,28,8,5,0
T20Is,9,6,2,46,15,11.50,37,124.32,0,0,3,1,2,0
First-class,67,98,6,2061,93,22.40,3784,54.46,0,10,238,43,30,0
List A,102,77,22,1114,69*,20.25,1118,99.64,0,2,88,43,33,0
Twenty20,84,56,15,642,80*,15.65,422,152.13,0,2,41,37,20,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,2,234,153,1,1/51,1/153,153.00,3.92,234.0,0,0,0
ODIs,27,27,1408,1160,40,6/45,6/45,29.00,4.94,35.2,1,1,0
T20Is,9,9,186,247,7,3/14,3/14,35.28,7.96,26.5,0,0,0
First-class,67,123,11923,5819,219,7/60,9/111,26.57,2.92,54.4,12,7,0
List A,102,100,5294,4317,164,6/45,6/45,26.32,4.89,32.2,8,3,0
Twenty20,84,82,1718,2169,96,4/26,4/26,22.59,7.57,17.8,2,0,0
