,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,10,8,2,89,37*,14.83,70,127.14,0,0,3,8,3,0
T20Is,8,4,1,46,21,15.33,39,117.94,0,0,3,1,0,0
First-class,121,180,27,3790,154,24.77,,,3,21,,,35,0
List A,175,140,41,2418,91,24.42,,,0,11,,,39,0
Twenty20,109,78,26,862,48*,16.57,676,127.51,0,0,52,43,13,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,10,10,526,551,13,2/21,2/21,42.38,6.28,40.4,0,0,0
T20Is,8,8,186,231,8,2/31,2/31,28.87,7.45,23.2,0,0,0
First-class,121,,20729,10664,419,7/60,,25.45,3.08,49.4,,22,1
List A,175,,7697,6519,216,4/26,4/26,30.18,5.08,35.6,6,0,0
Twenty20,109,104,2185,2763,108,4/24,4/24,25.58,7.58,20.2,1,0,0

