,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,16,7,1,37,12,6.16,70,52.85,0,0,2,1,5,0
T20Is,8,2,2,7,5*,-,6,116.66,0,0,0,0,0,0
First-class,22,35,5,756,74,25.20,1013,74.62,0,4,88,10,4,0
List A,41,27,6,409,66,19.47,417,98.08,0,3,44,11,10,0
Twenty20,53,17,4,69,15,5.30,74,93.24,0,0,6,1,6,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,16,16,803,703,27,3/16,3/16,26.03,5.25,29.7,0,0,0
T20Is,8,8,162,161,9,3/16,3/16,17.88,5.96,18.0,0,0,0
First-class,22,37,3895,2691,53,4/45,7/148,50.77,4.14,73.4,1,0,0
List A,41,40,2155,1858,62,4/18,4/18,29.96,5.17,34.7,3,0,0
Twenty20,53,52,1083,1265,64,6/19,6/19,19.76,7.00,16.9,0,1,0

