,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,3,1,1,1,1*,-,48,2.08,0,0,0,0,1,0
List A,2,2,1,5,5,5.00,7,71.42,0,0,0,0,0,0
Twenty20,16,3,1,3,3*,1.50,6,50.00,0,0,0,0,1,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,3,2,402,246,1,1/176,1/176,246.00,3.67,402.0,0,0,0
List A,2,2,74,69,3,3/38,3/38,23.00,5.59,24.6,0,0,0
Twenty20,16,16,309,368,17,3/18,3/18,21.64,7.14,18.1,0,0,0



