,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,100,143,22,5684,185,46.97,,,14,28,,,36,0
List A,101,89,27,2630,106*,42.41,,,3,16,,,35,0
Twenty20,137,87,36,1133,107*,22.21,956,118.51,1,1,77,40,40,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,100,,9412,3587,129,5/29,,27.80,2.28,72.9,,1,0
List A,101,,3315,2464,80,5/17,5/17,30.80,4.45,41.4,1,1,0
Twenty20,137,129,2364,2828,103,4/15,4/15,27.45,7.17,22.9,1,0,0



