,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,47,73,7,2661,214,40.31,,,6,13,,,22,0
List A,37,36,2,1242,117,36.52,1478,84.03,2,6,135,28,14,0
Twenty20,48,47,3,899,84,20.43,675,133.18,0,3,115,26,14,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,47,,78,40,0,-,-,-,3.07,-,0,0,0
List A,37,-,-,-,-,-,-,-,-,-,-,-,-
Twenty20,48,-,-,-,-,-,-,-,-,-,-,-,-



