,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,26,42,0,1292,139,30.76,2880,44.86,4,4,183,2,16,0
List A,24,22,4,529,84,29.38,701,75.46,0,4,54,2,3,0
Twenty20,38,32,6,472,54*,18.15,454,103.96,0,2,37,8,20,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,26,23,744,518,9,3/42,3/55,57.55,4.17,82.6,0,0,0
List A,24,12,300,269,3,2/58,2/58,89.66,5.38,100.0,0,0,0
Twenty20,38,14,121,172,3,1/5,1/5,57.33,8.52,40.3,0,0,0



