,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,84,62,11,1070,65,20.98,1220,87.70,0,4,69,33,41,0
T20Is,63,41,15,299,36*,11.50,297,100.67,0,0,19,8,26,0
First-class,65,103,10,2329,106*,25.04,,,1,14,,,71,0
List A,203,159,27,3077,119,23.31,,,1,16,,,97,0
Twenty20,173,135,37,1618,76*,16.51,1285,125.91,0,4,109,64,71,0

,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,84,81,3536,2956,63,3/24,3/24,46.92,5.01,56.1,0,0,0
T20Is,63,59,1123,1278,58,4/16,4/16,22.03,6.82,19.3,2,0,0
First-class,65,,11508,5567,139,6/90,,40.05,2.90,82.7,,3,0
List A,203,,9079,6999,169,5/39,5/39,41.41,4.62,53.7,0,1,0
Twenty20,173,159,3162,3783,157,4/16,4/16,24.09,7.17,20.1,4,0,0

