,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,117,205,13,9265,277,48.25,15525,59.67,27,38,1165,24,169,0
ODIs,197,194,10,6989,141,37.98,8648,80.81,10,47,788,44,105,0
T20Is,33,33,2,982,89*,31.67,770,127.53,0,5,123,26,18,0
First-class,165,284,19,12916,311,48.73,,,37,51,,,241,0
List A,259,253,15,9331,141,39.20,,,14,67,,,137,0
Twenty20,86,86,6,2389,105,29.86,1941,123.08,1,11,293,51,37,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,117,37,1418,885,8,2/145,2/145,110.62,3.74,177.2,0,0,0
ODIs,197,43,1026,951,18,3/30,3/30,52.83,5.56,57.0,0,0,0
T20Is,33,3,24,57,0,-,-,-,14.25,-,0,0,0
First-class,165,,1786,1132,11,2/145,,102.90,3.80,162.3,,0,0
List A,259,,1968,1796,47,3/30,3/30,38.21,5.47,41.8,0,0,0
Twenty20,86,7,96,148,4,3/23,3/23,37.00,9.25,24.0,0,0,0
