,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,54,78,18,1365,110*,22.75,2771,49.26,1,3,178,19,13,0
List A,42,32,11,306,44*,14.57,352,86.93,0,0,35,2,12,0
Twenty20,34,24,11,181,27*,13.92,175,103.42,0,0,11,5,11,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,54,87,9474,4425,138,5/23,8/90,32.06,2.80,68.6,5,4,0
List A,42,42,1985,1634,55,6/42,6/42,29.70,4.93,36.0,0,2,0
Twenty20,34,34,629,802,39,4/26,4/26,20.56,7.65,16.1,1,0,0



