,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,73,125,6,3667,163*,30.81,7433,49.33,7,15,,,91,0
List A,56,53,7,1358,110,29.52,1851,73.36,1,6,,,21,0
Twenty20,42,38,9,654,62,22.55,587,111.41,0,2,54,18,20,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,73,,8239,3599,142,5/32,,25.34,2.62,58.0,6,5,0
List A,56,,2023,1537,42,4/37,4/37,36.59,4.55,48.1,1,0,0
Twenty20,42,23,357,403,20,3/22,3/22,20.15,6.77,17.8,0,0,0



