,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,2,4,1,30,15*,10.00,27,111.11,0,0,2,2,0,0
Twenty20,11,3,2,22,19*,22.00,18,122.22,0,0,2,0,4,0




,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,2,2,246,143,5,3/66,3/66,28.60,3.48,49.2,0,0,0
Twenty20,11,11,208,300,12,3/18,3/18,25.00,8.65,17.3,0,0,0




