,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,49,83,13,2714,171,38.77,4036,67.24,8,8,348,32,19,0
List A,58,49,6,1302,81*,30.27,1765,73.76,0,10,121,17,14,0
Twenty20,37,31,5,478,52,18.38,492,97.15,0,1,40,10,11,0


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,1,1,60,60,2,2/60,2/60,30.00,6.00,30.0,0,0,0
First-class,49,76,8996,4527,118,7/41,9/111,38.36,3.01,76.2,4,6,0
List A,58,58,2712,2128,55,3/15,3/15,38.69,4.70,49.3,0,0,0
Twenty20,37,37,810,930,27,3/17,3/17,34.44,6.88,30.0,0,0,0


