,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,13,19,1,575,143,31.94,1087,52.89,3,0,71,2,6,0
ODIs,120,109,21,2695,101*,30.62,3462,77.84,1,14,204,34,35,0
T20Is,38,35,10,711,65*,28.44,599,118.69,0,3,54,17,7,0
First-class,181,296,32,10785,229,40.85,20781,51.89,26,45,,,93,0
List A,298,277,53,8936,201*,39.89,,,14,53,,,95,0
Twenty20,233,216,41,4810,105*,27.48,4022,119.59,1,26,386,133,73,0
,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,13,10,434,290,1,1/39,1/39,290.00,4.00,434.0,0,0,0
ODIs,120,74,1860,1523,40,4/38,4/38,38.07,4.91,46.5,1,0,0
T20Is,38,21,322,387,16,4/10,4/10,24.18,7.21,20.1,1,0,0
First-class,181,,13604,8278,226,5/49,,36.62,3.65,60.1,4,3,0
List A,298,,7015,6179,220,5/63,5/63,28.08,5.28,31.8,6,1,0
Twenty20,233,181,3262,3996,165,6/16,6/16,24.21,7.35,19.7,2,1,0
