,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
T20Is,5,2,1,15,12*,15.00,15,100.00,0,0,0,1,0,0
First-class,56,61,20,343,27,8.36,1022,33.56,0,0,42,2,13,0
List A,44,19,12,82,24,11.71,147,55.78,0,0,5,1,9,0
Twenty20,42,8,5,21,12*,7.00,31,67.74,0,0,0,1,7,0


,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,5,5,100,149,5,2/31,2/31,29.80,8.94,20.0,0,0,0
First-class,56,99,7861,4336,192,6/26,11/63,22.58,3.30,40.9,7,10,1
List A,44,42,1865,1863,51,5/31,5/31,36.52,5.99,36.5,0,1,0
Twenty20,42,42,876,1203,61,6/29,6/29,19.72,8.23,14.3,1,1,0


