,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,40,48,13,461,84,13.17,1320,34.92,0,2,55,4,15,0
List A,20,9,6,29,10*,9.66,37,78.37,0,0,0,2,2,0
Twenty20,31,4,3,11,8,11.00,6,183.33,0,0,0,1,16,0



,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,40,70,7202,3857,124,7/77,10/142,31.10,3.21,58.0,9,4,1
List A,20,19,762,603,15,4/51,4/51,40.20,4.74,50.8,1,0,0
Twenty20,31,31,689,784,47,4/26,4/26,16.68,6.82,14.6,1,0,0



